ID|NUM| MARSHRUT| RASPIS| ST1| ST2| V_PUTI| FIRM_NAME| WAGON| ROUTE_LINK
------------------------------------------------------------------------------ 
54|13 | Київ Ужгород | цілий рік щоденно | 22000 | 20095 | 16:00 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=54&by_id=1
149|784  | Київ Шостка | цілий рік щоденно, крім 4-28/04/2016 | 22000 | 22016 | 4:11 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=149&by_id=1
163|79  | Дніпропетровськ Київ | цілий рік щоденно | 22700 | 22000 | 8:32 | "ДНІПРО" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=163&by_id=1
221|72  | Київ Запоріжжя | цілий рік щоденно | 22000 | 22800 | 11:08 | "ЗАПОРІЖЖЯ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=221&by_id=1
290|763  | Дарниця, Київ Одеса | цілий рік щоденно, крім 29,30,31/03, 4-8,11-15,18-20/04/2016 | 22080 | 23600 | 7:21 | ІНТЕРСІТІ+ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=290&by_id=1
375|764  | Одеса Київ, Дарниця | цілий рік щоденно, крім 29,30,31/03, 4-8,11-15,18-20,23-28/04/2016 | 23600 | 22080 | 7:26 | ІНТЕРСІТІ+ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=375&by_id=1
384|80  | Київ Дніпропетровськ | цілий рік щоденно | 22000 | 22700 | 7:52 | "ДНІПРО" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=384&by_id=1
397|358  | Рахів Київ | цілий рік щоденно, крім 5-21/04, 17,18,19/05/2016 | 23270 | 22000 | 17:56 | "ГУЦУЛЬЩИНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=397&by_id=1
1155|855 | Київ Рівне | цілий рік щоденно | 22000 | 23400 | 7:42 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1155&by_id=1
1196|817 | Ворожба Фастів | цілий рік щоденно | 22050 | 22150 | 6:28 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1196&by_id=1
1222|818 | Київ Ворожба | цілий рік щоденно | 3723 | 22050 | 5:01 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1222&by_id=1
1228|865 | Гребінка Київ | з 13/12/2015 по суботах та неділях | 22550 | 739 | 2:25 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1228&by_id=1
1328|219 | Івано-Франківськ Київ | 3,30/04, 3,7,9/05/2016 | 23000 | 22000 | 12:23 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1328&by_id=1
1403|712  | Київ Костянтинівка | цілий рік щоденно | 22000 | 24140 | 6:22 | ІНТЕРСІТІ+ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1403&by_id=1
1438|282 | Київ Новоолексіївка | 29/04, 2/05/2016 | 22000 | 22790 | 15:17 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1438&by_id=1
1439|282 | Новоолексіївка Київ | 30/04, 3/05/2016 | 22790 | 22000 | 13:45 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1439&by_id=1
1449|113 | Харків Мукачеве | з 24/01/2016 по парних, при двох непарних 28,30,31,2,4 | 22100 | 23070 | 17:58 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1449&by_id=1
1451|115 | Харків Івано-Франківськ | з 25/01/2016 по непарних, при двох непарних 27,29,1 | 22100 | 23000 | 16:10 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1451&by_id=1
1505|283 | Херсон Барановичі | 16/06-16/09/2016 по парних, при двох непарних 30,1,4 | 23530 | 21010 | 25:44 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1505&by_id=1
1506|13 | Ужгород Київ | з 27/03/2016 щоденно | 20095 | 22000 | 15:32 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1506&by_id=1
1507|55 | Москва Жмеринка | з 27/03/2016 по непарних, при двох непарних 29,1,3 | 20007 | 22270 | 17:41 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1507&by_id=1
1508|767  | Київ Ковель | з 27/03/2016 щоденно | 22000 | 23020 | 8:32 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1508&by_id=1
1509|235 | Харків Ужгород | 29/03-29/04, 13-27/05/2016 по вівторках та п`ятницях; 2,6,8,9/05/2016 | 22100 | 20095 | 25:39 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1509&by_id=1
1516|770  | Кам'янець-Подільський Київ | з 28/03/2016 щоденно, крім 6-21/04/2016 | 22260 | 22000 | 7:37 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1516&by_id=1
1518|99 | Київ Ужгород | з 27/03/2016 щоденно | 22000 | 20095 | 14:33 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1518&by_id=1
1520|98 | Ковель Київ | з 27/03/2016 щоденно | 23020 | 22000 | 9:41 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1520&by_id=1
1523|54  | Київ С.петербург | з 27/03/2016 по непарних, при двох непарних 27,29,1 | 22000 | 20103 | 22:25 | "ЛИБІДЬ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1523&by_id=1
1524|64  | Київ Харків | з 27/03/2016 щоденно | 22000 | 22100 | 8:05 | "ОБЕРІГ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1524&by_id=1
1525|84  | Маріуполь Київ | з 27/03/2016 щоденно | 24400 | 22000 | 18:48 | "АЗОВ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1525&by_id=1
1528|235 | Ужгород Харків | 27/03-6/04, 24,27/04, 15-29/05/2016 по середах та неділях; 30/04, 3,7,9,10/05/2016 | 20095 | 22100 | 27:17 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1528&by_id=1
1535|74 | Львів Москва | з 27/03/2016 щоденно, крім 4-28/04/2016 | 23200 | 20007 | 47:17 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1535&by_id=1
1541|86  | Київ Мінськ | з 27/03/2016 щоденно; будьте уважні, двері в вагони зачиняються о 22:28, потім митний і паспортний контроль! | 22000 | 21000 | 9:45 | "БЕЛЫЙ АИСТ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1541&by_id=1
1545|134 | Київ Лисичанськ | з 27/03/2016 щоденно | 22000 | 24060 | 16:00 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1545&by_id=1
1549|76  | Київ Кривий Ріг | з 27/03/2016 щоденно (крім 4-22/04/2016) | 22000 | 22900 | 8:40 | "КРИВОРІЖЖЯ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1549&by_id=1
1551|55 | Хмельницький Москва | з 28/03/2016 по парних (крім 4-28/04/2016), при двох непарних 28,30,2 | 22300 | 20007 | 19:49 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1551&by_id=1
1552|269 | Київ Івано-Франківськ | 1,22,28,29,30/04, 6/05/2016 | 22000 | 23000 | 12:50 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1552&by_id=1
1555|782  | Київ Кременчук | з 27/03/2016 щоденно, крім вівторків; 3,10/05/2016 | 22000 | 22610 | 5:33 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1555&by_id=1
1557|102 | Херсон Київ | з 27/03/2016 щоденно | 23530 | 22000 | 12:23 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1557&by_id=1
1561|12  | Київ Новоолексіївка | з 27/03/2016 щоденно | 22000 | 22790 | 12:37 | "СЛАВУТИЧ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1561&by_id=1
1562|111  | Харків Львів | 27/03-3/04/2016 щоденно | 22100 | 23200 | 19:58 | "СЛОБОЖАНЩИНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1562&by_id=1
